"ISSN
(print or elec)","si inactif
date
dernier 
num",title host,"editor
in
chief","Autres liens
avec UPC",Affiliation,rattachement,main_subject,"nb 
personne",source,"orga. 
scientifique","Publieurs
/Plateformes","looks like
predatory",model_eco,"modele eco
verbeux","APC 
montant
€","date
enregistrement","identification 
type"
1877-0657,,Annals of Physical and Rehabilitation Medicine,FALSE,editorial board,"University of Paris, Paris",Sciences,ST,1,https://www.journals.elsevier.com/annals-of-physical-and-rehabilitation-medicine/editorial-board,association : Société Française de Médecine physique et de Réadaptation,Elsevier,,Hybride,,4350,2022-03-01,catalogue Elsevier
0007-9960,,Cahiers de Nutrition et de Diététique,FALSE,editorial board,Universite de Paris Campus Saint-Germain-des-Pres,Santé,Health,1,https://www.journals.elsevier.com/cahiers-de-nutrition-et-de-dietetique/editorial-board,association : Société Française de Nutrition,Elsevier,,Hybride,,2000,2022-03-01,catalogue Elsevier
2211-5684,,Diagnostic and Interventional Imaging,TRUE,,Universite de Paris,Santé,Health,1,https://www.journals.elsevier.com/diagnostic-and-interventional-imaging/editorial-board,association : Société française de radiologie,Elsevier,,Hybride,,3250,2022-03-01,catalogue Elsevier
2352-5525,,"Ethics, Medicine & Public Health",FALSE,editorial board,"University of Paris Saint-Germain Campus, Paris, France",Sciences,ST,1,https://www.journals.elsevier.com/ethics-medicine-and-public-health,,Elsevier,,Hybride,,2136,2022-03-01,catalogue Elsevier
1879-7296,,"European Annals of Otorhinolaryngology, Head and Neck Diseases",TRUE,Associate editor-in-chief ; editorial board,"University of Paris Societies and Humanities Faculty ; University Federation Paris Centre Universites, Paris",Sociétés et Humanités,HSS,6,https://www.journals.elsevier.com/european-annals-of-otorhinolaryngology-head-and-neck-diseases/editorial-board,association : Société francaise d'Otorhinolaryngologie et de Chirurgie de la Face et du Cou,Elsevier,,Hybride,,3170,2022-03-01,catalogue Elsevier
2468-7189,,Gynécologie Obstétrique Fertilité & Sénologie,FALSE,editorial board,"University of Paris, Hospital Robert-Debré, Gynecology-Obstetrics Department ; Paris University, APHP, Louis -Mourier Hospital ; University of Paris",Santé,Health,3,https://www.journals.elsevier.com/gynecologie-obstetrique-fertilite-and-senologie/editorial-board,association : Collège national des gynécologues et obstétriciens français,Elsevier,,Hybride,,2630,2022-03-01,catalogue Elsevier
2542-3606,,In Analysis,FALSE,editorial board,"Paris Descartes University Laboratory of Clinical Psychology, Psychopathology, Psychoanalysis (PCPP), Paris ; Paris University, Laboratoire CRPMS, Paris ; University of Paris Societies and Humanities Faculty ; University of Paris, Necker-Enfants-Malades Hospital ; Paris University, Research Center for Psychoanalysis, Medicine and Society (EA 3522)",Santé ; Sociétés et Humanités,HSS,10,https://www.journals.elsevier.com/in-analysis/editorial-board,,Elsevier,,Hybride,,2000,2022-03-01,catalogue Elsevier
1761-7227,,International Orthodontics,FALSE,publishing director ; editorial board,"University of Paris, Paris",Santé,Health,1,https://www.journals.elsevier.com/international-orthodontics/editorial-board,association : Collège Européen d'Orthodontie,Elsevier,,Hybride,,2600,2022-03-01,catalogue Elsevier
1297-319X,,Joint Bone Spine,FALSE,editorial board,"INSERM U1132, Paris University, APHP, Department of Rheumatology, Lariboisière Hospital, Paris, France",Santé,Health,1,https://www.journals.elsevier.com/joint-bone-spine/editorial-board,,Elsevier,,Hybride,,3750,2022-03-01,catalogue Elsevier
2543-3431,,Journal d'imagerie diagnostique et interventionnelle,FALSE,editorial board,"Université de Paris, Paris, France",Santé,Health,1,https://www.journals.elsevier.com/journal-dimagerie-diagnostique-et-interventionnelle,association : Organe officiel de la Société française de radiologie (SFR) et du Collège des enseignants en radiologie de France (Cerf),Elsevier,,Hybride,,1780,2022-03-01,catalogue Elsevier
