"ISSN
(print or elec)","si inactif
date
dernier 
num",title host,"editor
in
chief","Autres liens
avec UPC",Affiliation,rattachement,main_subject,"nb 
personne",source,"orga. 
scientifique","Publieurs
/Plateformes","looks like
predatory",model_eco,"modele eco
verbeux","APC 
montant
€","date
enregistrement","identification 
type"
2429-957X,,Collection Clinique et Changement Social,TRUE,editorial board,Université Paris Diderot - Paris 7,Sociétés et Humanités,HSS,9,http://www.lcsp.univ-paris-diderot.fr/Collection-Changement-Social-438,laboratoire : LCSP ,L'Harmattan,,Subscription,,,2022-02-25,sérendipité
1765-3126,,Corpus,FALSE,editorial board,"UMR 7110, Université Paris Diderot-Paris 7",Sociétés et Humanités,HSS,2,https://journals.openedition.org/corpus/16,laboratoire : Bases corpus et langage,OpenEdition,,Delayed OA,OA après embargo de 6 mois,,2022-02-28,sérendipité
2107-0199,,"Cahiers ""Mondes Anciens""",FALSE,editorial board,UMR 8210 Anthropologie et Histoire des Mondes Antiques,Sociétés et Humanités,HSS,3,https://journals.openedition.org/mondesanciens/331,,OpenEdition,,Diamond,,,2022-02-25,sérendipité
1278-3366,,Cybergéo : revue européenne de géographie,TRUE,editorial board,UMR 8504 Géographie-cités ; Université Paris-Diderot – Paris 7,Sociétés et Humanités,HSS,7,https://journals.openedition.org/cybergeo/5024,,OpenEdition,,Diamond,,,2022-02-25,sérendipité
2429-4667,,Etudes canadiennes / Canadian Studies,TRUE,,"LARCA, UMR 8225",Sociétés et Humanités,HSS,1,https://journals.openedition.org/eccs/190,,OpenEdition,,Diamond,,,2022-02-25,sérendipité
1638-1580,,"Histoire, épistémologie, langage",FALSE,editorial board,Université de Paris,Sociétés et Humanités,HSS,1,https://journals.openedition.org/hel/269,,OpenEdition,,Diamond,,,2022-02-25,sérendipité
2105-2557,,"La Révolution française, Cahiers de l’Institut d’histoire de la Révolution française",FALSE,reviewer,"université Paris Diderot, ICT",Sociétés et Humanités,HSS,3,https://journals.openedition.org/lrf/66,laboratoire : Institut d'histoire moderne et contemporaine (IHMC UMR 8066),OpenEdition,,Diamond,,,2022-02-28,sérendipité
2107-0733,,Les Cahiers du CEDREF,TRUE,dir de pub ; editorial board,"Centre d’enseignement, de documentation et de recherche pour les études féministes (CEDREF) de l’Université Paris Diderot",Sociétés et Humanités,HSS,2,https://journals.openedition.org/cedref/500,,OpenEdition,,Diamond,,,2022-02-25,sérendipité
1769-7298,,Mappemonde,FALSE,editorial board,"UMR Géographie-cités ; Université Denis-Diderot, Paris 7 ; UMR LOCEAN ; UMS RIATE",Sociétés et Humanités,HSS,5,https://journals.openedition.org/mappemonde/269,laboratoire : UMR ESPACE,OpenEdition,,Diamond,,,2022-03-01,sérendipité
2264-6221,,"RESET, Recherches en sciences sociales sur internet ",FALSE,editorial board,"Université de Paris, CERLIS",Sociétés et Humanités,HSS,1,https://journals.openedition.org/reset/448,,OpenEdition,,Diamond,,,2022-02-25,sérendipité
1760-5393,,Revue d'anthropologie des connaissances,FALSE,editorial board,"CERMES3, Université Paris Descartes",Sociétés et Humanités,HSS,1,https://journals.openedition.org/rac/269,association : Société d'Anthropologie des Connaissances,OpenEdition,,Diamond,,,2022-02-28,sérendipité
1957-7796,,"Revue de la régulation, capitalisme, institutions, pouvoirs",FALSE,editorial board,"LADYSS, université Paris Diderot – Paris 7 ; CERLIS, université Paris-Descartes ;  CESSMA, UMR 245 – IRD, université Paris-Diderot, Inalco",Sociétés et Humanités,HSS,4,https://journals.openedition.org/regulation/1577,association : Association Recherche & Régulation,OpenEdition,,Diamond,,,2022-02-28,sérendipité
2266-0909,,TV/Series,TRUE,editorial board,Université Paris-Diderot,Sociétés et Humanités,HSS,3,https://journals.openedition.org/tvseries/269?lang=en,,OpenEdition,,Diamond,,,2022-02-21,sérendipité
1963-1022,,Revue d'histoire des sciences humaines,TRUE,editorial board,Géographie-cités ; Université Paris-Diderot,Sociétés et Humanités,HSS,4,https://journals.openedition.org/rhsh/269,,OpenEdition ; Editions de la Sorbonne,,Diamond,,,2022-03-01,sérendipité
2295-9106,,Revue critique de fixxion contemporaine française,FALSE,editorial board,"CERILAC, Université de Paris",Sociétés et Humanités,HSS,1,https://journals.openedition.org/fixxion/269,,OpenEdition ; Ghent University,,Diamond,,,2022-03-01,sérendipité
,2020,"Psychiatrie, psychanalyse et sociétés",TRUE,editorial board,Université Paris 7 Denis-Diderot,Santé ; Sociétés et Humanités,HSS,6,http://www.revue-pps.org/comite-de-redaction/,"laboratoire : UFR d’Etudes psychanalytiques ; Centre de Recherche Psychanalyse, Médecine et Société (CRPMS) ; Ecole Doctorale Recherches en Psychanalyse",,,Diamond,no licence,,2022-02-25,sérendipité
1875-368X,2019,Revue française de linguistique appliquée,FALSE,dir de pub ; editorial board,Paris VII - Denis Diderot,Sociétés et Humanités,HSS,2,http://www.rfla-journal.org/fr/content/comite-de-redaction,,Cairn  ,,Subscription,,,2022-02-25,sérendipité
0754-5010,,"Extrême Orient, Extrême Occident",TRUE,editorial board,"Université Paris Diderot, Paris 7",Sociétés et Humanités,HSS,3,https://www.puv-editions.fr/collections/extreme-orient-extreme-occident-24-1.html,laboratoire : SPHere,Presse Universitaire de Vincennes,,Subscription,,,2022-02-25,sérendipité
1572-9095,,Applied Categorical Structures,FALSE,editorial board,Université Paris Diderot,Sciences,ST,1,https://www.springer.com/journal/10485/editors,,Springer Nature,,Hybride,,2190,2022-02-22,sérendipité
1572-9095,,Applied Categorical Structures,FALSE,editorial board,Institut de Mathématiques de Jussieu,Sciences,ST,1,https://www.springer.com/journal/10485/editors,,Springer Nature,,Hybride,,2190,2022-02-22,sérendipité
2199-6806,,Arnold Mathematical Journal,FALSE,editorial board,Institut de Mathématiques de Jussieu,Sciences,ST,1,https://www.springer.com/journal/40598/editors,,Springer Nature,,Hybride,,2090,2022-02-22,sérendipité
2365-7448,,Euro-Mediterranean Journal for Environmental Integration,FALSE,topical chief editor,IPGP,IPGP,ST,1,https://www.springer.com/journal/41207/editors,,Springer Nature,,Hybride,,2090,2022-02-22,sérendipité
1420-8970,,Geometric and Functional Analysis,FALSE,editorial board,Institut de Mathématiques de Jussieu,Sciences,ST,1,https://www.springer.com/journal/39/editors,,Springer Nature,,Hybride,,2290,2022-02-22,sérendipité
1572-9222,,Journal of Dynamics and Differential Equations,FALSE,editorial board,Institut de Mathématiques de Jussieu,Sciences,ST,1,https://www.springer.com/journal/10884/editors,,Springer Nature,,Hybride,,2290,2022-02-22,sérendipité
2194-041X,,Stochastics and Partial Differential Equations: Analysis and Computations,FALSE,editorial board,Institut de Mathématiques de Jussieu,Sciences,ST,1,https://www.springer.com/journal/40072/editors,,Springer Nature,,Hybride,,2290,2022-02-22,sérendipité
1866-7414,,The Mathematical Intelligencer,FALSE,editorial board,Institut de Mathématiques de Jussieu,Sciences,ST,1,https://www.springer.com/journal/283/editors,,Springer Nature,,Hybride,,2190,2022-02-22,sérendipité
1292-8941,,European Physical Journal E (EPJE),FALSE,editorial board,Université Paris Diderot,Sciences,ST,1,https://epje.epj.org/epje-editorial-board,association : Societa italiana di fisica,Springer Nature ; EDP Sciences,,Hybride,,2590,2022-02-21,sérendipité
,,Arts of War and Peace,FALSE,editorial board,"LARCA , Université Paris Diderot",Sociétés et Humanités,HSS,6,https://artswarandpeace.univ-paris-diderot.fr/credits-2/,laboratoire : LARCA,Université Paris Cité,,Diamond,,,2022-02-25,sérendipité
2265-6405,,"cArgo, Revue Internationale d'Anthropologie culturelle & sociale",TRUE,editorial board ; personne support,Université de Paris,Sociétés et Humanités,HSS,6,https://www.cargo.canthel.fr/,laboratoire : Centre d'anthropologie culturelle,Université Paris Cité,,Diamond,,,2022-02-25,sérendipité
2266-2677,,Encyclo,FALSE,dir de pub ; editorial board,"école doctorale Sciences des Sociétés (ED 624), Université de Paris",Sociétés et Humanités,HSS,7,https://hal.archives-ouvertes.fr/ENCYCLO_1/,ecole doctorale : Ecole doctorale Sciences des Sociétés ,Université Paris Cité,,Diamond,,,2022-02-25,sérendipité
2493-920X,,Journal de droit de la santé et de l'assurance maladie,FALSE,dir de pub,,Sociétés et Humanités,HSS,,https://institutdroitsante.fr/publications/publications-ids/revues-livres/journal-de-la-sante-et-de-lassurance-maladie-jdsam/,laboratoire: Institut droit et santé,Université Paris Cité ; INSERM,,Diamond,,,2022-02-25,sérendipité
1837-2104,,IARTEM e-journal,TRUE,journal manager,Université de Paris,Sociétés et Humanités,HSS,2,https://ojs.bibsys.no/index.php/IARTEM/about/editorialTeam,association : International Association for Research on Textbooks and Educational Media,Universitetet i Sørøst-Norge,,Diamond,,,2022-03-01,sérendipité
2492-7457,,Ecrire l'histoire,TRUE,editorial board,Université de Paris - CERILAC - EA4410 ;  ICT - EA337,Sociétés et Humanités,HSS,11,https://journals.openedition.org/elh/784,,OpenEdition ; CNRS Editions,,Delayed OA,OA après embargo d'un an,,2022-03-01,site du labo
2678-8373,,Thaêtre,TRUE,editorial board,"Université de Paris (anciennement Paris Diderot), CERILAC",Sociétés et Humanités,HSS,5,https://www.thaetre.com/lequipe/,association : Association thaêtre,Association thaêtre,,Diamond,,,2022-03-01,site du labo
1240-1307,,Natures Sciences Sociétés,TRUE,personne support,UMR LADYSS,Sociétés et Humanités,HSS,3,https://www.ladyss.com/natures-sciences-societes,association : NSS dialogues ,EDP Sciences,,Diamond,,,2022-02-21,site web labo
2296-634X,,Frontiers in Cell end Developmental Biology,TRUE,specialty chief editor ; editorial board,Institut Pasteur ; UMR7216 Epigénétique et destin cellulaire,Institut Pasteur ; Sciences,Health,4,https://www.frontiersin.org/journals/cell-and-developmental-biology/sections/developmental-epigenetics#editorial-board,,Frontiers,,Gold APC,,2600,2022-02-23,site web labo
2105-1232,,Image Processing On Line (IPOL),FALSE,editorial board,Université René Descartes,Sciences,ST,1,https://www.ipol.im/meta/board/,,IPOL,,Diamond,,,2022-02-23,site web labo
2311-553X,,Non-Coding RNA,FALSE,editorial board,"University of Paris Diderot - Paris 7 ; Institut Jacques Monod, UMR7592 CNRS-Universite Paris Diderot",Sciences,ST,3,https://www.mdpi.com/journal/ncrna/editors,,MDPI,,Gold APC,,1540,2022-02-23,site web labo
2647-6754,,Interfaces,FALSE,editorial board ; reviewer,UMR LARCA  8225,Sociétés et Humanités,HSS,2,https://journals.openedition.org/interfaces/541,,OpenEdition,,Diamond,,,2022-02-21,site web labo
2267-2419,,Revue d’ethnoécologie,FALSE,,,Sciences,ST,,https://www.ecoanthropologie.fr/fr/revue-dethnoecologie-6173,laboratoire : Eco-Anthropologie,OpenEdition,,Diamond,,,2022-02-23,site web labo
2045-2322,,Scientific Reports,FALSE,editorial board,"Université Paris 7 Diderot ; Institut Necker Enfants Malades, Universite Paris Descartes ; Institut Imagine ; Institut Cochin",Santé ; Sciences,ST,9,https://www.nature.com/srep/about/editors,,Springer Nature,,Gold APC,,1790,2022-02-23,site web labo
2590-2504,,La Presse Médicale Open,FALSE,Associate Editors-in-Chief,"Paris University, Paris, France",Santé,Health,1,https://www.journals.elsevier.com/la-presse-medicale-open/editorial-board,,Elsevier,,Gold APC,,1500,2022-04-03,"openeditors ""univ of paris"""
0001-8708,,Advances in Mathematics,FALSE,Editorial Board,"University of Paris, Paris, France",Sciences,ST,1,https://www.journals.elsevier.com/advances-in-mathematics/editorial-board,,Elsevier,,Hybride,,2779,2022-04-03,"openeditors ""univ of paris"""
2405-6308,,Clinical and Translational Radiation Oncology,FALSE,Editorial Board,"University of Paris, Paris, France",Santé,Health,1,https://www.journals.elsevier.com/clinical-and-translational-radiation-oncology/editorial-board,,Elsevier,,Gold APC,,1530,2022-04-03,"openeditors ""univ of paris"""
0140-3664,,Computer Communications,FALSE,Technical Committee,"University of Paris, Paris, France",Sciences,ST,2,https://www.journals.elsevier.com/computer-communications/editorial-board,,Elsevier,,Hybride,,2082,2022-04-03,"openeditors ""univ of paris"""
0223-5234,,European Journal of Medicinal Chemistry,TRUE,,"University of Paris, Paris, France",Santé,Health,1,https://www.journals.elsevier.com/european-journal-of-medicinal-chemistry/editorial-board,,Elsevier,,Hybride,,4136,2022-04-03,"openeditors ""univ of paris"""
2772-4174,,European Journal of Medicinal Chemistry Reports,TRUE,,"University of Paris, Paris, France",Santé,Health,1,https://www.journals.elsevier.com/european-journal-of-medicinal-chemistry/editorial-board,,Elsevier,,Gold APC,,4193,2022-04-03,"openeditors ""univ of paris"""
0379-0738,,Forensic Science International,FALSE,Associate Editors,"University of Paris, Paris, France",Sciences,ST,1,https://www.journals.elsevier.com/forensic-science-international/editorial-board,,Elsevier,,Hybride,,3358,2022-04-03,"openeditors ""univ of paris"""
0315-0860,,Historia Mathematica,FALSE,Associate Editors,"University of Paris, Paris, France",Sciences,ST,1,https://www.journals.elsevier.com/historia-mathematica/editorial-board,association : International Commission for the History of Mathematics,Elsevier,,Hybride,,1330,2022-04-03,"openeditors ""univ of paris"""
1386-5056,,International Journal of Medical Informatics,FALSE,Associate Editors,"University of Paris, Paris, France",Sciences,ST,2,https://www.journals.elsevier.com/journal-of-creativity/editorial-board,association  : European Federation for Medical Informatics Association ; International Medical Informatics Association ,Elsevier,,Hybride,,2996,2022-04-03,"openeditors ""univ of paris"""
2713-3745,,Journal of Creativity,FALSE,Editorial Board Members,"University of Paris, Paris, France",Sciences,ST,1,https://www.journals.elsevier.com/journal-of-creativity/editorial-board,,Elsevier,,Gold APC,,1177,2022-04-03,"openeditors ""univ of paris"""
0085-2538,,Kidney International,FALSE,Editorial Board,"University of Paris, Paris, France",Santé,Health,3,https://www.journals.elsevier.com/kidney-international,association : International Society of Nephrology,Elsevier,,Hybride,,2896,2022-04-03,"openeditors ""univ of paris"""
1549-9634,,"Nanomedicine: Nanotechnology, Biology and Medicine",FALSE,Editorial Board,"University of Paris, Paris, France",Sciences,ST,1,https://www.journals.elsevier.com/nanomedicine-nanotechnology-biology-and-medicine/editorial-board,,Elsevier,,Hybride,,2760,2022-04-03,"openeditors ""univ of paris"""
0304-422X,,Poetics,FALSE,Editorial Board,"University of Paris, Paris, France",Sociétés et Humanités,HSS,1,https://www.journals.elsevier.com/poetics/editorial-board,,Elsevier,,Hybride,,2516,2022-04-03,"openeditors ""univ of paris"""
0304-4149,,Stochastic Processes and their Applications,FALSE,Associate Editors,"University of Paris, Paris, France",Sciences,ST,1,https://www.journals.elsevier.com/stochastic-processes-and-their-applications/editorial-board,association : The Bernoulli Society ,Elsevier,,Hybride,,2289,2022-04-03,"openeditors ""univ of paris"""
0304-3975,,Theoretical Computer Science,FALSE,Speciality Editor,"University of Paris, Paris, France",Sciences,ST,1,https://www.journals.elsevier.com/theoretical-computer-science/editorial-board,,Elsevier,,Hybride,,2235,2022-04-03,"openeditors ""univ of paris"""
0040-5809,,Theoretical Population Biology,FALSE,Associate Editors,"University of Paris, Paris, France",Sciences,ST,1,https://www.journals.elsevier.com/theoretical-population-biology/editorial-board,,Elsevier,,Hybride,,2381,2022-04-03,"openeditors ""univ of paris"""
1098-3015,,Value in Health,FALSE,Associate Editors,"University of Paris, Paris, France",Santé,Health,1,https://www.journals.elsevier.com/value-in-health/editorial-board,association : Professional Society for Health Economics and Outcomes Research,Elsevier,,Hybride,,2580,2022-04-03,"openeditors ""univ of paris"""
1741-6418,,Atoms for Peace: an International Journal,FALSE,Editorial Board,"Paris Descartes, paris V",Sciences,ST,1,https://www.inderscience.com/jhome.php?jcode=afp#edboard-content,,Inderscience,,Hybride,,2716,2022-04-04,"openeditors ""univ paris V"""
2050-5086,,"Forum of Mathematics, Pi",FALSE,Editors,"University of Paris VII, France",Sciences,ST,1,https://www.cambridge.org/core/journals/forum-of-mathematics-pi/information/editorial-board,,Cambridge University Press,,Gold APC,,1358,2022-04-04,"openeditors ""univ paris VII"""
0016-7029,,Geochemistry International,FALSE,Editorial Board,Institut de Physique du Globe de Paris et Université Paris VII,IPGP,ST,2,https://www.pleiades.online/en/journal/geochem/board/,,Pleiades ; Springer Nature,,Hybride,,3169,2022-04-04,"openeditors ""univ paris VII"""
1936-8798,,JACC: Cardiovascular Interventions,FALSE,Editorial Consultants,"Paris Descartes, paris V",Santé,Health,1,https://www.journals.elsevier.com/jacc-cardiovascular-interventions/editorial-board,association : American College of Cardiology,Elsevier,,Hybride,,2716,2022-04-04,"openeditors ""univ paris VII"""
2605-1532,,REC: CardioClinics,FALSE,Editorial Board,"Department of Cardiology, Bichat Claude Bernard Hospital-Paris VII University, Paris, France",Santé,Health,1,https://www.journals.elsevier.com/rec-cardioclinics/editorial-board,,Elsevier,,Hybride,,2580,2022-04-04,"openeditors ""univ paris VII"""
2610-1920,,Adjectif : analyses et recherches sur les TICE,TRUE,Editorial Board ; reviewer,"Université de Paris, EDA",Sociétés et Humanités,HSS,7,https://adjectif.net/,"laboratoire : Laboratoire Education, Discours et Apprentissages (EDA)",Université Paris Cité,,Diamond,,,2023-02-01,nous a contacté
2416-4178,,Cahier textuel,TRUE,editorial board,CERILAC,Sociétés et Humanités,HSS,18,https://u-paris.fr/cerilac/revue-et-cahiers-textuel/organigramme/,laboratoire : CERILAC,Hermann,,Subscription,,,2023-02-01,nous a contacté
,9,,,,,,,,,,,,,,,,
